id,location,bathrooms,bedrooms,parking,size,agent,price
788,Tokai,3.0,4.0,5.0,1085,RE/MAX Elite,4 450 000
789,Harfield Village,1.0,2.0,2.0,163,Pam Golding Properties - Southern Suburbs,1 700 000
790,Hanover Park,1.0,2.0,,159,Rawson Properties Rawson Auctions Western Cape,389 000
791,Claremont Upper,5.0,5.0,3.0,816,Dogon Group Southern Suburbs,6 395 000
792,Observatory,1.0,3.0,,150,Eazi Real Estate,2 350 000
793,Plumstead,1.0,3.0,,243,Rawson Properties Constantia,2 195 000
794,Thornton,2.0,3.0,2.0,221,Sharon Van Rensburg Properties,1 425 000
795,Silvertree Estate,4.5,4.0,4.0,654,Sotheby's International Realty - Tokai,9 950 000
796,Lakeside,1.0,2.0,3.0,542,Glendyr Dade Properties,1 950 000
797,Newlands,2.0,3.0,1.0,330,Sotheby's International Realty - Claremont,4 900 000
798,Bo Kaap,3.0,3.0,2.0,749,RE/MAX Living,4 950 000
799,Adriaanse,1.0,4.0,3.0,991,Huizemark Bellville,970 000
800,Kenilworth,3.0,5.0,2.0,539,Sale,3 950 000
801,Lansdowne,1.5,3.0,3.0,538,Pam Golding Properties - South Eastern Suburbs,1 850 000
802,Marina Da Gama,2.0,3.0,2.0,557,Engel & Volkers False Bay,3 500 000
803,Gardens,1.0,2.0,,,RE/MAX Living,5 500 000
804,Pelican Park,1.5,2.0,,309,Pam Golding Properties - South Eastern Suburbs,950 000
805,Woodstock,1.0,4.0,,140,BAE Estates & Escapes,1 099 999
806,Tamboerskloof,3.0,3.0,,166,"Greeff Christie's International Real Estate - City Bowl, Atlantic & Western Seaboard",5 450 000
807,Stonehurst Mountain Estate,5.0,3.0,4.0,347,Stonehurst Properties,6 750 000
808,Constantia,2.0,3.0,5.0,1106,Keller Williams Eden,4 999 000
809,Costa Da Gama,1.0,2.0,1.0,200,Erf Size,1 399 000
810,Kenilworth,1.0,2.0,2.0,162,Eazi Real Estate,1 750 000
811,Green Point,2.5,2.0,,150,Dogon Group Sea Point - Head Office,7 500 000
812,Oranjezicht,4.5,5.0,2.0,595,Pam Golding Properties - City Bowl,18 995 000
813,Surrey Estate,2.0,3.0,2.0,,,1 950 000
814,Green Point,2.5,2.0,,150,Dogon Group Sea Point - Head Office,7 500 000
815,Claremont Upper,4.5,4.0,2.0,1154,Seeff Southern Suburbs,9 450 000
816,Bishopscourt Village,5.0,5.0,7.0,857,Sale,12 595 000
817,Pinelands,5.0,6.0,10.0,1428,Sharon Van Rensburg Properties,6 850 000
818,Three Anchor Bay,2.5,3.0,1.0,198,LM Property Group - Cape Town,5 950 000
819,Mowbray,2.0,5.0,1.0,,"RE/MAX, Property Associates - Pinelands",2 950 000
820,Constantia,5.0,6.0,2.0,2026,Constantia Valley Estates,10 500 000
821,Three Anchor Bay,2.0,3.0,2.0,300,Property.CoZa - Atlantic Seaboard,6 250 000
822,Observatory,2.0,6.0,,310,"Greeff Christie's International Real Estate - City Bowl, Atlantic & Western Seaboard",2 695 000
823,Kirstenhof,2.5,3.0,2.0,833,Rawson Properties Constantia,3 595 000
824,Oranjezicht,7.0,7.0,1.0,484,RE/MAX Living,12 000 000
825,Llandudno,4.0,4.0,3.0,991,Atteridge Real Estate,27 500 000
826,Constantia,3.0,4.0,4.0,1426,Jawitz Constantia,9 950 000
827,Plumstead,2.0,3.0,5.0,615,"RE/MAX, Property Associates - Pinelands",2 695 000
828,Surrey Estate,2.0,3.0,1.0,,,2 599 000
829,Constantia,3.0,3.0,2.0,4489,Pam Golding Properties - Southern Suburbs,12 750 000
830,Belhar,2.0,5.0,2.0,,Harcourts House of Real Estate,930 000
831,Camps Bay,3.0,4.0,6.0,1427,Seeff Camps Bay - Sales,19 900 000
832,Surrey Estate,2.0,3.0,1.0,,,2 599 000
833,Fresnaye,2.5,3.0,2.0,200,Jawitz Atlantic Seaboard,8 299 000
834,Mowbray,1.0,3.0,,230,RE/MAX Living,1 700 000
835,Observatory,2.5,3.0,2.0,182,ERA City Bowl,3 700 000
836,Vredehoek,3.0,3.0,,174,Pam Golding Properties - City Bowl,2 900 000
837,Claremont Upper,3.5,4.0,3.0,407,RE/MAX Elite,7 250 000
838,Newlands,5.0,5.0,4.0,583,Chas Everitt Cape Town South,9 900 000
839,Llandudno,2.0,4.0,2.0,1182,Cape Waterfront Estates,15 500 000
840,Lansdowne,2.0,3.0,2.0,495,Erf Size,2 250 000
841,Oranjezicht,6.0,4.0,2.0,561,Sale,7 400 000
842,Newlands,2.5,4.0,7.0,3634,Pam Golding Properties - Southern Suburbs,18 000 000
843,Marina Da Gama,3.0,4.0,4.0,1126,Keller Williams Explore Properties,2 940 000
844,Constantia,7.5,6.0,12.0,2573,Pam Golding Properties - Southern Suburbs,15 950 000
845,Surrey Estate,2.0,3.0,7.0,481,Eazi Real Estate,2 600 000
846,Oranjezicht,5.0,5.0,2.0,430,Erf Size,9 290 000
847,Bishopscourt Village,3.0,3.0,1.0,457,Pam Golding Properties - Southern Suburbs,6 300 000
848,Woodstock,1.0,3.0,2.0,205,"Greeff Christie's International Real Estate - City Bowl, Atlantic & Western Seaboard",3 395 000
849,Constantia,7.5,6.0,12.0,2573,Pam Golding Properties - Southern Suburbs,15 950 000
850,Bergvliet,1.0,3.0,3.0,831,Keller Williams Eden,2 500 000
851,Bantry Bay,2.0,4.0,2.0,501,Lance Real Estate,9 250 000
852,Tokai,2.5,4.0,6.0,,Omega Real Estate,4 499 000
853,Pinelands,3.0,4.0,3.0,748,RE/MAX Living,3 595 000
854,Green Point,3.0,3.0,1.0,378,Tyson Properties Atlantic Seaboard,7 950 000
855,Sybrand Park,2.0,4.0,6.0,,Robshaw Property Group,2 600 000
856,Bantry Bay,5.0,4.0,2.0,849,RE/MAX Living,60 000 000
857,Lotus River,2.0,6.0,3.0,276,Nadia Moses Real Estates,1 800 000
858,Zonnebloem,1.0,2.0,1.0,185,RE/MAX Living,2 785 000
859,Constantia,3.5,4.0,2.0,1303,Pam Golding Properties - Southern Suburbs,12 400 000
860,Camps Bay,6.5,5.0,6.0,,RE/MAX Living,49 500 000
861,Constantia,2.0,4.0,,9453,Greeff Christie's International Real Estate - Southern Suburbs,19 900 000
862,Vredehoek,3.0,3.0,3.0,,Jawitz Atlantic Seaboard,4 350 000
863,Marina Da Gama,2.0,3.0,3.0,,RE/MAX Elite,1 670 000
864,Pinelands,1.0,2.0,3.0,395,Seeff Pinelands,2 295 000
865,Green Point,7.0,6.0,3.0,,FPS Properties,9 250 000
866,Kirstenhof,2.0,2.0,3.0,257,Beachside Properties,2 395 000
867,Woodstock,3.0,7.0,,273,ClareMart Auction Group,POA
868,Kalk Bay,4.0,5.0,4.0,1222,Engel & Volkers False Bay,9 400 000
869,Observatory,3.0,3.0,,103,We Trade Property - Northern Suburbs,2 395 000
870,Kenilworth,2.0,3.0,2.0,366,"RE/MAX, Property Associates - Pinelands",2 645 000
871,Rondebosch East,3.0,3.0,5.0,595,"RE/MAX, Property Associates - Pinelands",4 950 000
872,Marina Da Gama,2.0,3.0,3.0,,RE/MAX Elite,1 670 000
873,Pinelands,4.0,4.0,2.0,979,Sharon Van Rensburg Properties,4 450 000
874,Plumstead,4.0,6.0,2.0,990,Pam Golding Properties - Southern Suburbs,4 700 000
875,Pelican Park,2.0,4.0,1.0,200,Omega Real Estate,1 450 000
876,Sea Point,2.0,3.0,1.0,397,RE/MAX Living,6 250 000
877,Muizenberg,2.0,3.0,3.0,219,"RE/MAX, Premier - Claremont",1 995 000
