id,location,bathrooms,bedrooms,parking,size,agent,price
554,Constantia,3.0,3.0,2.0,279,Rawson Properties RD Sales / Rentals,4495000
555,Observatory,1.0,2.0,2.0,157,Seeff Southern Suburbs,2295000
556,Montana,2.0,3.0,4.0,552,REDZ etc,1595000
557,Pelican Park,1.0,2.0,6.0,150,Eazi Real Estate,695000
558,Kenilworth,2.0,3.0,1.0,497,Core Property Group,2900000
559,Kirstenhof,5.0,5.0,4.0,756,"RE/MAX, Premier - Claremont",3800000
560,Rondebosch,5.0,4.0,4.0,599,Keller Williams Explore Properties,5995000
561,Vredehoek,1.0,2.0,4.0,393,"Kapstadt International Properties cc, Gardens",5950000
562,Salt River,1.0,1.0,,126,BAE Estates & Escapes,1899999
563,Pinati,2.0,3.0,1.0,595,Rawson Properties Cape Town CBD,1950000
564,Constantia,4.5,4.0,4.0,1009,Eazi Real Estate,4590000
565,Constantia,2.0,4.0,4.0,2183,Tyson Properties Southern Suburbs,6999000
566,Observatory,1.0,2.0,,118,Sale,1950000
567,Observatory,,,,145,Robshaw Property Group,3250000
568,Tamboerskloof,2.5,2.0,1.0,191,"Kapstadt International Properties cc, Gardens",5350000
569,Bergvliet,2.0,2.0,2.0,347,Chas Everitt Cape Town South,3495000
570,Diep River,2.5,3.0,5.0,381,Greeff Christie's International Real Estate - Southern Suburbs,2650000
571,Constantia,2.0,3.0,3.0,1037,Keller Williams Eden,4600000
572,Bergvliet,2.0,3.0,5.0,1020,Chas Everitt Cape Town South,4395000
573,Constantia,3.0,3.0,2.0,8144,Pam Golding Properties - Southern Suburbs,13595000
574,Woodstock,1.0,4.0,,130,Evolution Properties,1490000
575,Tamboerskloof,2.0,3.0,2.0,367,Pam Golding Properties - City Bowl,7995000
576,Harfield Village,1.0,3.0,1.0,202,Pam Golding Properties - Southern Suburbs,2599000
577,Lotus River,1.0,2.0,3.0,98,RE/MAX Impact,850000
578,Belhar,1.0,2.0,,273,Keller Williams Clockwork,700000
579,Lakeside,15.0,16.0,5.0,929,Greeff Christie's International Real Estate - Southern Suburbs,9900000
580,Observatory,2.0,2.0,2.0,372,Eazi Real Estate,3595000
581,Constantia,3.5,4.0,4.0,1357,Greeff Christie's International Real Estate - Southern Suburbs,11900000
582,Woodstock,1.0,2.0,,107,Erf Size,2450000
583,Salt River,1.0,3.0,,260,Rawson Properties Ottery,2100000
584,Grassy Park,3.0,8.0,,,Keller Williams Explore Properties,2200000
585,Constantia,3.0,3.0,3.0,1487,Chas Everitt Cape Town South,5995000
